ticker,name,sector,notes
BIPI,Astrindo Nusantara Infrastruktur Tbk,Industrials,
BAPA,Bekasi Asri Pemula Tbk,Properties & Real Estate,
SIMP,Salim Ivomas Pratama Tbk,Consumer Non-Cyclicals,
SOCI,Soechi Lines Tbk,Industrials,
BULL,Buana Lintas Lautan Tbk,Industrials,
LEAD,Logindo Samudramakmur Tbk,Industrials,
GZCO,Gozco Plantations Tbk,Consumer Non-Cyclicals,
BNBR,Bakrie & Brothers Tbk,Industrials,
WBSA,BSA Logistics Indonesia Tbk,Industrials,
CDIA,Chandra Daya Investasi Tbk,Utilities,
CUAN,Petrindo Jaya Kreasi Tbk,Energy,
COIN,Indokripto Koin Semesta Tbk,Financials,
INET,Sinergi Inti Andalan Prima Tbk,Technology,
MINA,Sanurhasta Mitra Tbk,Consumer Cyclicals,
TOBA,TBS Energi Utama Tbk,Energy,
ZATA,Bersama Zatta Jaya Tbk,Consumer Cyclicals,
SUPA,Super Bank Indonesia Tbk,Financials,
INPC,Bank Artha Graha Internasional Tbk,Financials,
IMPC,Impack Pratama Industri Tbk,Industrials,
LPKR,Lippo Karawaci Tbk,Properties & Real Estate,
MSIN,MNC Digital Entertainment Tbk,Communication & Media,
MEJA,Harta Djaya Karya Tbk,Industrials,
MLPL,Multipolar Tbk,Consumer Cyclicals,
OASA,Maharaksa Biru Energi Tbk,Utilities,
VKTR,VKTR Teknologi Mobilitas Tbk,Consumer Cyclicals,
RATU,Raharja Energi Cepu Tbk,Energy,
RAJA,Rukun Raharja Tbk,Utilities,
INDS,Indospring Tbk,Consumer Cyclicals,
ASHA,Cilacap Samudera Fishing Industry Tbk,Consumer Non-Cyclicals,
KUAS,Ace Oldfields Tbk,Industrials,
IKAN,Era Mandiri Cemerlang Tbk,Consumer Non-Cyclicals,
EMAS,Merdeka Gold Resources Tbk,Basic Materials,
ARCI,Archi Indonesia Tbk,Basic Materials,
BRMS,Bumi Resources Minerals Tbk,Basic Materials,
BUMI,Bumi Resources Tbk,Energy,
ENRG,Energi Mega Persada Tbk,Energy,
JARR,Jhonlin Agro Raya Tbk,Consumer Non-Cyclicals,
PGUN,Pradiksi Gunatama Tbk,Consumer Non-Cyclicals,
TEBE,Dana Brata Luhur Tbk,Industrials,
BUVA,Bukit Uluwatu Villa Tbk,Consumer Cyclicals,
DKFT,Central Omega Resources Tbk,Basic Materials,
HUMI,Humpuss Maritim Internasional Tbk,Industrials,
TRIN,Perintis Triniti Properti Tbk,Properties & Real Estate,
TRUE,Triniti Dinamik Tbk,Properties & Real Estate,
MHKI,Multi Hanna Kreasindo Tbk,Industrials,
